iter	Logloss	Accuracy
0	0.6711644866	0.8482959268
1	0.6548162666	0.852452202822	0.638277112	0.850374064833	0.6216920032	0.849127182
4	0.6080899508	0.8445552785
5	0.5952196337	0.8487115544
6	0.5831501122	0.8445552785
7	0.5698295546	0.8487115544
8	0.5569975753	0.848295926899	0.5455888781	0.8503740641010	0.5358182425	0.8507896921111	0.5269841897	0.8495428091112	0.5182770262	0.8503740613113	0.5085720934	0.8520365711414	0.5012348185	0.8503740611515	0.4951054823	0.8528678311616	0.4882571301	0.852452217	017	0.4807336961	0.852452218	018	0.4737536098	0.85369919	0.19	0.4672746224	0.85702420	0.20	0.4622199676	0.85577721	0.21	0.4563190709	0.85743222	022	0.4508466179	0.85743223	023	0.4451565792	0.85910224	0.24	0.4407811995	0.86201125	0.25	0.4361088654	0.86575226	026	0.43158109	0.8628428922727	0.4270416379	0.86159601
28	0.4228640557	0.8653366582929	0.418916734	0.8649210308330	0.4151498134	0.8640897753131	0.4112215492	0.865752286332	0.407704729	0.8665835411
33	0.4051627586	0.8665835411
34	0.4025371269	0.8669991687
35	0.3997343977	0.8678304239
36	0.3968266224	0.8678304239
37	0.3938710273	0.8694929343
38	0.391122296	0.8694929343
39	0.3886971306	0.8694929343
40	0.3866576674	0.8699085619
41	0.3849286759	0.8707398171
42	0.382600728	0.8711554447
43	0.3813598473	0.8715710723
44	0.3789530261	0.8719866999
45	0.3766667944	0.8736492103
46	0.3736165357	0.8769742311
47	0.3716462857	0.8765586035
48	0.369863702	0.8769742311
49	0.3679854321	0.8778054863
50	0.3667571063	0.8778054863
51	0.3642593314	0.8778054863
52	0.3631341376	0.8798836243
53	0.3617828353	0.8802992519
54	0.3596383321	0.8811305071
55	0.3581250139	0.8807148795
56	0.3564213819	0.8819617623
57	0.3547475918	0.8827930175
58	0.3536853019	0.8823773899
59	0.3526080339	0.8823773899
60	0.3513423712	0.8827930175
61	0.3499073174	0.8827930175662	0.348336	0.8823773899
63	0.3468130846	0.8840399002
64	0.3451505811	0.8836242727
65	0.3436764412	0.8844555278
66	0.3426103671	0.8848711554
67	0.3413990293	0.885286783
68	0.3407586847	0.8857024106
69	0.3391499324	0.8857024106
70	0.3382557193	0.8857024106
71	0.3373777885	0.885286783
72	0.3365158219	0.8857024106
73	0.3355993591	0.8857024106
74	0.3350706826	0.8861180382
75	0.3340775685	0.8861180382
76	0.3331688679	0.8869492934
77	0.3322118509	0.887364921
78	0.3304150371	0.8877805486
79	0.3293861335	0.8886118038
80	0.3276986749	0.8881961762
81	0.327116076	0.8890274314
82	0.3264748036	0.8890274314
83	0.325898405	0.889443059
84	0.325251844	0.8898586866
85	0.324549302	0.8906899418
86	0.3239048123	0.8902743142
87	0.3231555264	0.8902743142
88	0.3222910642	0.8911055694
89	0.3213648483	0.8906899418
90	0.3198188847	0.891521197
91	0.3192015382	0.891521197
92	0.317882103	0.8911055694
93	0.3172073111	0.8923524522
94	0.3167748418	0.8923524522
95	0.3159000254	0.8927680798
96	0.3152400913	0.8927680798
97	0.3143715804	0.8923524522
98	0.3138634786	0.8923524522
99	0.3128730092	0.893599335
100	0.311804753	0.8952618454
101	0.3107138317	0.895677473
102	0.3097689002	0.895677473
103	0.3091718707	0.895677473
104	0.308845143	0.895677473
105	0.3082482962	0.8965087282
106	0.3073450552	0.895677473
107	0.3063399883	0.8965087282
108	0.3056158358	0.8960931006
109	0.3047828098	0.8973399834
110	0.30385884	0.897755611
111	0.3034085902	0.8973399834
112	0.3029591788	0.8973399834
113	0.3020652823	0.897755611
114	0.3014801104	0.8981712386
115	0.3010427135	0.8985868662
116	0.3003794207	0.8990024938
117	0.2996085894	0.8994181214
118	0.2988049973	0.8994181214
119	0.2980499046	0.9002493766
120	0.2974272755	0.9006650042
121	0.2969661309	0.9010806318
122	0.2963480627	0.9010806318
123	0.2953533214	0.9014962594
124	0.2949976282	0.9019118869
125	0.2943698447	0.9019118869
126	0.2939299011	0.9027431421
127	0.2935111906	0.9027431421
128	0.2928731539	0.9027431421
129	0.2924414423	0.9027431421
130	0.2921536253	0.9027431421
131	0.2918465997	0.9027431421
132	0.2911819871	0.9031587697
133	0.2906084597	0.9031587697
134	0.2903086192	0.9035743973
135	0.2899707415	0.9031587697
136	0.2896603374	0.9031587697
137	0.2891953595	0.9031587697
138	0.2884623678	0.9044056525
139	0.2879524561	0.9044056525
140	0.2878070853	0.9044056525
141	0.2875721984	0.9044056525
142	0.2869306859	0.9048212801
143	0.2863256839	0.9048212801
144	0.2857694024	0.9044056525
145	0.285297805	0.9056525353
146	0.2848933716	0.9056525353
147	0.2842657345	0.9056525353
148	0.2838349498	0.9052369077
149	0.2833405211	0.9064837905
150	0.282741041	0.9056525353
151	0.2824710559	0.9064837905
152	0.2821001915	0.9056525353
153	0.2817802321	0.9056525353
154	0.2815232676	0.9056525353
155	0.2812482753	0.9056525353
156	0.2806114298	0.9060681629
157	0.2799782279	0.9060681629
158	0.2796500345	0.9060681629
159	0.279040718	0.9073150457
