iter	Passed	Remaining
0	143	143745
1	282	140969
2	456	151789
3	620	154419
4	781	155444
5	954	158183
6	1136	161165
7	1300	161228
8	1464	161216
9	1628	161253
10	1790	160960
11	1951	160656
12	2141	162620
13	2305	162382
14	2473	162434
15	2635	162111
16	2805	162242
17	2969	161980
18	3157	163040
19	3360	164684
20	3529	164562
21	3693	164175
22	3856	163816
23	4035	164104
24	4201	163863
25	4368	163633
26	4532	163347
27	4730	164232
28	4891	163793
29	5057	163520
30	5240	163808
31	5405	163525
32	5572	163293
33	5775	164103
34	5937	163715
35	6141	164465
36	6363	165634
37	6527	165243
38	6689	164838
39	6849	164395
40	7013	164052
41	7192	164056
42	7353	163657
43	7513	163250
44	7678	162944
45	7842	162645
46	8008	162389
47	8217	162975
48	8394	162919
49	8564	162730
50	8723	162330
51	8890	162087
52	9054	161789
53	9267	162349
54	9435	162126
55	9619	162152
56	9780	161813
57	9946	161538
58	10141	161755
59	10307	161485
60	10467	161136
61	10647	161086
62	10811	160805
63	10978	160558
64	11172	160706
65	11338	160455
66	11547	160807
67	11731	160786
68	11899	160560
69	12090	160634
70	12300	160949
71	12469	160716
72	12637	160480
73	12828	160534
74	13032	160740
75	13221	160750
76	13385	160452
77	13603	160795
78	13820	161123
79	13993	160924
80	14229	161445
81	14395	161155
82	14628	161621
83	14802	161420
84	14967	161117
85	15132	160830
86	15390	161510
87	15534	160994
88	15660	160305
89	15864	160406
90	16092	160745
91	16272	160603
92	16511	161033
93	16672	160695
94	16838	160404
95	17021	160288
96	17205	160173
97	17385	160013
98	17561	159826
99	17716	159449
100	17872	159080
101	18042	158845
102	18247	158915
103	18471	159136
104	18636	158854
105	18825	158775
106	19026	158794
107	19215	158704
108	19341	158106
109	19496	157745
110	19701	157786
111	19826	157194
112	19952	156616
113	20150	156606
114	20317	156358
115	20540	156531
116	20675	156037
117	20846	155816
118	21033	155721
119	21205	155508
120	21338	155015
121	21506	154773
122	21632	154244
123	21756	153697
124	21902	153314
125	22133	153527
126	22285	153190
127	22471	153084
128	22727	153454
129	22926	153430
130	23062	152990
131	23251	152897
132	23447	152852
133	23636	152755
134	23802	152509
135	23985	152378
136	24199	152440
137	24377	152269
138	24504	151784
139	24728	151906
140	24889	151632
141	25061	151429
142	25227	151191
143	25427	151150
144	25590	150896
145	25803	150932
146	25972	150713
147	26184	150740
148	26375	150641
149	26583	150638
150	26833	150869
151	27091	151141
152	27309	151182
153	27485	150992
154	27651	150745
155	27853	150692
156	28035	150534
157	28210	150337
158	28394	150186
159	28592	150111
160	28762	149886
161	29000	150013
162	29228	150086
163	29400	149870
164	29584	149714
165	29749	149463
166	29966	149473
167	30159	149363
168	30342	149197
169	30525	149036
170	30689	148781
171	30865	148584
172	31097	148655
173	31266	148424
174	31439	148215
175	31625	148065
176	31780	147770
177	31943	147516
178	32162	147517
179	32312	147202
180	32492	147024
181	32716	147045
182	32909	146923
183	33130	146924
184	33324	146806
185	33502	146618
186	33698	146505
187	33883	146348
188	34046	146093
189	34243	145987
190	34413	145761
191	34618	145685
192	34785	145448
193	34948	145197
194	35123	144995
195	35365	145071
196	35532	144836
197	35699	144602
198	35868	144374
199	36041	144167
200	36210	143941
201	36459	144033
202	36647	143880
203	36773	143487
204	36973	143383
205	37146	143175
206	37363	143137
207	37491	142757
208	37726	142782
