iter	Logloss	Accuracy
0	0.6407015418	0.8403547672
1	0.601358243	0.8344419808
2	0.566053443	0.8429416112
3	0.5362849019	0.8481152993
4	0.5096187737	0.8455284553
5	0.4853819045	0.8536585366
6	0.4648847358	0.8562453806
7	0.4477067151	0.8628972653
8	0.4340489736	0.8643754619
9	0.4248608329	0.8647450111
10	0.4145209717	0.8680709534
11	0.4049429797	0.8673318551
12	0.3988743937	0.8713968958
13	0.3927130882	0.8680709534
14	0.3848145237	0.8728750924
15	0.3796862914	0.8728750924
16	0.3735091386	0.8758314856
17	0.369183584	0.876940133
18	0.3646099639	0.881744272
19	0.3607544341	0.8824833703
20	0.3569372002	0.8832224686
21	0.352430877	0.884331116
22	0.3479882022	0.8850702143
23	0.3421061926	0.8876570584
24	0.3381807708	0.8887657058
25	0.3353687578	0.8883961567
26	0.3323252324	0.8895048041
27	0.329805956	0.8909830007
28	0.3274572291	0.8913525499
29	0.3251495779	0.8924611973
30	0.3226841444	0.8935698448
31	0.3195775999	0.8928307465
32	0.3173751866	0.8932002956
33	0.3145838951	0.8935698448
34	0.3131503868	0.8946784922
35	0.3114213969	0.8943089431
36	0.3089324611	0.896526238
37	0.3065537911	0.8972653363
38	0.3055560025	0.8983739837
39	0.3043070114	0.899113082
40	0.3031037651	0.9005912786
41	0.3022085018	0.9009608278
42	0.2993306356	0.9016999261
43	0.2974770929	0.9020694752
44	0.2956427505	0.9016999261
45	0.2935173036	0.9031781227
46	0.2919119182	0.903917221
47	0.2912077613	0.9031781227
48	0.290204534	0.9031781227
49	0.2895966885	0.9031781227
50	0.288060619	0.903917221
51	0.2861782588	0.9046563193
52	0.2848853134	0.9042867701
53	0.2825814026	0.9057649667
54	0.2816985439	0.906504065
55	0.2809277376	0.906504065
56	0.2779005143	0.906504065
57	0.2764023333	0.9068736142
58	0.2751060856	0.906504065
59	0.2741666279	0.906504065
60	0.2733655287	0.9072431633
61	0.2725103657	0.9076127125
62	0.2722298069	0.9076127125
63	0.2720325666	0.9076127125
64	0.271234576	0.9076127125
65	0.2702807788	0.9076127125
66	0.2698463762	0.9076127125
67	0.2693630818	0.9079822616
68	0.267342236	0.9087213599
69	0.2666064454	0.9087213599
70	0.2660506528	0.9083518108
71	0.2656140413	0.9083518108
72	0.2648493843	0.9083518108
73	0.2641967576	0.9083518108
74	0.2635760885	0.9083518108
75	0.2623311271	0.9087213599
76	0.2611562807	0.9083518108
77	0.2601325814	0.9087213599
78	0.2599862377	0.9087213599
79	0.2591939522	0.9087213599
80	0.2586764471	0.9087213599
81	0.2578250861	0.9101995565
82	0.2559437331	0.9109386548
83	0.2552570118	0.911308204
84	0.253979713	0.9109386548
85	0.2525177154	0.911308204
86	0.2522325519	0.911308204
87	0.2504821298	0.9120473023
88	0.250338686	0.9120473023
89	0.2493650309	0.9127864006
90	0.2490613355	0.9127864006
91	0.2472572544	0.9131559497
92	0.2468095036	0.9131559497
93	0.2466784849	0.9135254989
94	0.2455551135	0.9146341463
95	0.245018061	0.9150036955
96	0.2437559939	0.9157427938
97	0.2429547936	0.9164818921
98	0.2423184828	0.9161123429
99	0.2407417669	0.9164818921
100	0.2404971094	0.9164818921
101	0.2399981178	0.9168514412
102	0.2399023792	0.9175905395
103	0.2396973484	0.9175905395
104	0.2385236042	0.918699187
105	0.2369665379	0.9190687361
106	0.2354251623	0.9198078344
107	0.2344673887	0.9201773836
108	0.233461649	0.9205469327
109	0.2320065017	0.921286031
110	0.2318652594	0.9216555802
111	0.2303505697	0.9227642276
112	0.2301974168	0.9227642276
113	0.2300503801	0.9227642276
114	0.2299212419	0.9223946785
115	0.2296511143	0.9227642276
116	0.2294032619	0.9227642276
117	0.2283682223	0.9231337768
118	0.2267771125	0.9242424242
119	0.2266172794	0.9242424242
120	0.2257225845	0.9257206208
121	0.2249053708	0.9271988174
122	0.2233860136	0.9271988174
123	0.2221093929	0.928677014
124	0.2219164817	0.9290465632
125	0.2210650006	0.9290465632
126	0.2201047665	0.9305247598
127	0.2193080042	0.9312638581
128	0.2184517575	0.9308943089
129	0.2180642657	0.9308943089
130	0.2164071636	0.9316334072
131	0.2151257322	0.9323725055
132	0.2149327885	0.9323725055
133	0.2140342453	0.9323725055
134	0.213855266	0.9323725055
135	0.2127288667	0.9327420547
136	0.2120085451	0.9323725055
137	0.2111633968	0.9331116038
138	0.210848954	0.9338507021
139	0.2107182533	0.9338507021
140	0.2104646449	0.9338507021
141	0.2096513718	0.9342202513
142	0.2090167931	0.9338507021
143	0.2089226695	0.9338507021
144	0.2077545301	0.933481153
145	0.2072666431	0.9338507021
146	0.2065263911	0.9338507021
147	0.2050946687	0.9342202513
148	0.2047491384	0.9342202513
149	0.2034416911	0.9345898004
150	0.2032840331	0.9345898004
151	0.2031317181	0.9345898004
152	0.2025195915	0.9345898004
153	0.2023089718	0.9345898004
154	0.2016279273	0.9353288987
155	0.2011944211	0.9353288987
156	0.2004449029	0.9353288987
157	0.199730046	0.9353288987
158	0.1996085656	0.9356984479
159	0.1994070152	0.9356984479
160	0.1992540181	0.936067997
161	0.1988024495	0.936067997
162	0.1981358208	0.9364375462
163	0.1976964106	0.9368070953
164	0.1970189246	0.9371766445
165	0.1964471916	0.9371766445
166	0.1963096435	0.9371766445
167	0.196059395	0.9371766445
168	0.1957347353	0.9371766445
169	0.1952584663	0.9371766445
170	0.1948635048	0.9371766445
171	0.1945717205	0.9371766445
172	0.1945116544	0.9371766445
173	0.1939342073	0.9375461936
174	0.193878864	0.9375461936
175	0.1937484296	0.9379157428
176	0.1935364856	0.9379157428
177	0.1934359765	0.9382852919
178	0.1928181057	0.9386548411
179	0.1925146813	0.9390243902
180	0.1924076241	0.9390243902
181	0.1919356238	0.9390243902
182	0.1915586903	0.9390243902
183	0.1915065749	0.9390243902
184	0.1914433658	0.9393939394
185	0.1913380199	0.9393939394
186	0.1909501587	0.9393939394
187	0.190230043	0.9397634885
188	0.1892855916	0.9401330377
189	0.1887666	0.940872136
190	0.1883964319	0.940872136
191	0.1870553295	0.940872136
192	0.1869457002	0.940872136
193	0.1864991071	0.9416112343
194	0.1864514234	0.9416112343
195	0.1854873791	0.9416112343
196	0.1844577901	0.9419807834
197	0.1832667233	0.9419807834
198	0.1825266657	0.9419807834
199	0.1821709497	0.9427198817
200	0.1814938424	0.9427198817
201	0.1813764831	0.9427198817
202	0.1805573464	0.9430894309
203	0.1803392449	0.9430894309
204	0.1802902621	0.9430894309
205	0.1801986412	0.9430894309
206	0.1795710179	0.9438285292
207	0.1784230081	0.9453067258
208	0.177780826	0.9456762749
209	0.1776554417	0.9460458241
210	0.1771575831	0.9464153732
211	0.1768011473	0.9467849224
212	0.176337388	0.9464153732
213	0.1760317097	0.9464153732
214	0.1757591182	0.9464153732
215	0.1748687699	0.9467849224
216	0.1741741926	0.9464153732
217	0.1739527015	0.9467849224
218	0.1733168911	0.9475240207
219	0.1732414585	0.9478935698
220	0.1725186644	0.9478935698
221	0.1723616809	0.9478935698
222	0.172110918	0.9478935698
223	0.1715362958	0.9478935698
224	0.1714791151	0.948263119
225	0.1707724857	0.9490022173
226	0.1706184066	0.9490022173
227	0.1704672834	0.9490022173
228	0.1702668559	0.9490022173
229	0.1691918116	0.9497413156
230	0.1687571726	0.9497413156
231	0.1683823516	0.9497413156
232	0.1675546019	0.9497413156
233	0.1669990177	0.9501108647
234	0.1666036165	0.9497413156
235	0.1661566919	0.9497413156
236	0.1658798121	0.9497413156
237	0.1655589908	0.9497413156
238	0.1648353823	0.9501108647
239	0.1646884691	0.9501108647
240	0.1641767043	0.9501108647
241	0.1640656682	0.9501108647
242	0.1639298935	0.9501108647
243	0.163756128	0.9504804139
244	0.1634503463	0.9504804139
245	0.1632837497	0.9504804139
246	0.1630093775	0.9504804139
247	0.1629187152	0.9504804139
248	0.1628569344	0.950849963
249	0.1625144143	0.950849963
250	0.162386432	0.9504804139
251	0.1619921176	0.950849963
252	0.1613502736	0.9512195122
