iter	Passed	Remaining
0	57	57847
1	65	32532
2	72	24087
3	79	19890
4	87	17436
5	95	15881
6	102	14607
7	114	14222
8	119	13174
9	126	12552
10	130	11762
11	133	11026
12	137	10409
13	140	9890
14	143	9435
15	146	9026
16	149	8663
17	152	8340
18	156	8055
19	159	7798
20	162	7566
21	165	7359
22	168	7169
23	172	7016
24	175	6853
25	178	6703
26	182	6560
27	185	6431
28	188	6305
29	192	6211
30	195	6105
31	198	6003
32	201	5904
33	204	5814
34	207	5730
35	210	5648
36	214	5572
37	217	5499
38	220	5428
39	223	5359
40	226	5298
41	229	5240
42	233	5187
43	236	5133
44	239	5081
45	242	5032
46	245	4983
47	248	4936
48	251	4881
49	254	4839
50	257	4796
51	260	4757
52	264	4718
53	267	4683
54	270	4647
55	274	4626
56	277	4595
57	280	4561
58	283	4528
59	286	4495
60	290	4464
61	293	4435
62	296	4407
63	299	4379
64	302	4351
65	305	4328
66	308	4302
67	312	4276
68	315	4252
69	318	4228
70	321	4204
71	324	4180
72	327	4158
73	331	4146
74	334	4125
75	338	4109
76	341	4089
77	344	4069
78	347	4048
79	350	4028
80	353	4009
81	356	3991
82	359	3974
83	362	3955
84	365	3937
85	368	3920
86	371	3902
87	375	3887
88	378	3871
89	381	3855
90	384	3839
91	387	3825
92	390	3809
93	393	3796
94	397	3782
95	400	3766
96	403	3752
97	406	3738
98	409	3724
99	412	3712
100	415	3698
101	418	3684
102	421	3670
103	424	3657
104	427	3647
105	431	3636
106	434	3625
107	437	3612
108	440	3601
109	443	3590
110	446	3578
111	449	3567
112	453	3557
113	456	3546
114	459	3534
115	462	3523
116	465	3512
117	468	3501
118	471	3491
119	474	3481
120	477	3470
121	480	3460
122	484	3451
123	487	3441
124	490	3431
125	493	3421
126	496	3411
127	499	3402
128	502	3394
129	505	3385
130	509	3376
131	512	3367
132	515	3359
133	518	3349
134	521	3341
135	524	3333
136	528	3329
137	531	3321
138	534	3312
139	537	3303
140	540	3294
141	543	3286
142	547	3278
143	550	3270
144	553	3262
145	556	3254
146	559	3246
147	562	3239
148	566	3232
149	569	3225
150	572	3218
151	575	3210
152	578	3202
153	581	3194
154	584	3187
155	587	3180
156	590	3172
157	593	3165
158	596	3157
159	600	3150
160	603	3143
161	606	3135
162	609	3128
163	612	3121
164	615	3114
165	618	3107
166	621	3100
167	624	3093
168	627	3087
169	630	3080
170	633	3073
171	637	3066
172	639	3059
173	643	3053
174	646	3047
